participante,perfil,fecha,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,t1_completada,t2_completada,t3_completada,t4_completada,t5_completada,t6_completada,t7_completada,observaciones
ENC-01,entrenador,2026-07-30,4,2,5,1,4,2,5,1,4,2,,,,,,,,
ENC-02,recepcionista,2026-07-30,3,3,4,2,3,2,4,2,3,3,,,,,,,,
ENC-03,estudiante,2026-07-30,5,1,5,2,4,1,5,1,4,2,,,,,,,,
ENC-04,padre de familia,2026-07-30,3,4,3,3,2,3,3,4,2,4,,,,,,,,
ENC-05,entrenador,2026-07-30,4,2,4,1,5,2,4,1,5,2,,,,,,,,
ENC-06,recepcionista,2026-07-30,2,4,3,4,3,3,2,3,3,4,,,,,,,,
ENC-07,estudiante,2026-07-30,5,1,4,2,5,1,5,2,4,1,,,,,,,,
ENC-08,padre de familia,2026-07-30,3,3,3,3,3,3,3,3,3,3,,,,,,,,
ENC-09,entrenador,2026-07-30,4,1,5,1,4,2,4,1,5,1,,,,,,,,
ENC-10,recepcionista,2026-07-30,3,2,4,3,2,4,3,2,4,3,,,,,,,,
